ID,Company Name,Country,Contact Person,Email,Phone,Website,Date Added,Status,Score,Classification,Focus
,VµGÇîô>Ô©QTÕÄªaCM4¼f~,Austria,,,,,31/01/2026,New,0,,No
,Mulackal,Austria,,,,https://www.mulackal.com/,31/01/2026,New,0,,No
,Zaltech,Austria,,,,https://zaltech.com/en/,31/01/2026,New,0,,No
,Italian Food Distributors Austria,Austria,,,,https://www.italianfoodnews.com/en/distributors-importers-wholesalers-supplier/austria,31/01/2026,New,0,,No
,A. Darbo AG: Home,United States,,,,https://darbo.com/en/,31/01/2026,New,0,,No
,BILLA,Austria,,,,https://www.rewe-group.com/en/company/structure-and-saleslines/billa/,31/01/2026,New,0,,No
,WKTRADE E.U.,United States,,,,https://freshdi.com/supplier/wktrade-e-u-,31/01/2026,New,0,,No
,MULACKAL Handel GmbH,Austria,,,,https://at.linkedin.com/company/mulackal,31/01/2026,New,0,,No
,Austria,Austria,,,,https://www.conaxesstrade.com/about-us/austria/,31/01/2026,New,0,,No
,Sonepar in Austria,Austria,,,,https://www.sonepar.com/en/explore-sonepar/sonepar-in-austria,31/01/2026,New,0,,No
,Inandout Distribution GmbH,Austria,,,,https://www.inandout-distribution.com/en/,31/01/2026,New,0,,No
,Zaltech,Austria,,,,https://zaltech.com/en/,31/01/2026,New,0,,No
,ERC Distribution,Austria,,,,https://erc-distribution.com/,31/01/2026,New,0,,No
,Company logistics Distributor Austria,Austria,,,,https://www.wlw.com/en/search/company-logistics/supplier-type/distribution/country/austria/region/sankt-poelten-and-lower-austria/page/2,31/01/2026,New,0,,No
,Brands,Austria,,,,https://www.yourfoodbrands.com/en,31/01/2026,New,0,,No
,Zaltech,United States,,,,https://zaltech.com/en/,31/01/2026,New,0,,No
,Almi,Austria,,,,https://www.almi.at/en/company,31/01/2026,New,0,,No
,Food imports Austria,Austria,,,,https://www.wlw.com/en/search/food-imports/country/austria/page/3,31/01/2026,New,0,,No
,Omega Food Importers Co. Ltd.,United States,,,,https://www.omega-foods.com/,31/01/2026,New,0,,No
,Austrian Food Broker GmbH,Austria,,,,https://www.advantageaustria.org/ae/company/en/austrian-food-broker-gmbh,31/01/2026,New,0,,No
,"European Imports, Inc. Importer and Distributor of Cheese ...",Austria,,,,http://www.eiltd.com/,31/01/2026,New,0,,No
,ENGELBERT REHEIS,United Kingdom,,,,https://freshdi.com/supplier/engelbert-reheis,31/01/2026,New,0,,No
,Starting a Business in Austria,Austria,,,,https://investinaustria.at/en/doing-business/starting-a-business-in-austria/,31/01/2026,New,0,,No
,Weihs Food Distributor,United States,,,,https://www.weihs.at/en/,31/01/2026,New,0,,No
,Brands,Austria,,,,https://www.yourfoodbrands.com/en,31/01/2026,New,0,,No
,Aekshea Foods Wholesale: Home,India,,,,https://www.aeksheafoods.at/,31/01/2026,New,0,,No
,Mulackal,Austria,,,,https://www.mulackal.com/,31/01/2026,New,0,,No
,Transgourmet Österreich GmbH,United States,,,,https://leitbetriebe.at/en/profiles/transgourmet-osterreich-gmbh/,31/01/2026,New,0,,No
,Italian Food Distributors Austria,Austria,,,,https://www.italianfoodnews.com/en/distributors-importers-wholesalers-supplier/austria,31/01/2026,New,0,,No
,Van Dijk Foods Belgium Nv,Belgium,,,,https://bestfoodimporters.com/company/van-dijk-foods-belgium-nv/,31/01/2026,New,0,,No
,Italian Food Distributors Belgium,Belgium,,,,https://www.italianfoodnews.com/en/distributors-importers-wholesalers-supplier/belgium,31/01/2026,New,0,,No
,FRANS MICHIELS BELGIUM,Belgium,,,,https://www.freshfromflanders.com/en/supplier/509722bf-a56f-46a0-be0f-4764a14a26b7,31/01/2026,New,0,,No
,Belgium,Belgium,,,,https://www.thegbfoods.com/geographies/belgium/,31/01/2026,New,0,,No
,EUROFOOD BELGIUM,Belgium,,,,https://freshdi.com/supplier/eurofood-belgium,31/01/2026,New,0,,No
,Foodex Belgium Srl,Belgium,,,,https://bestfoodimporters.com/company/foodex-belgium-srl/,31/01/2026,New,0,,No
,"Dedicated to bakers, pastry chefs and chocolatiers",Austria,,,,https://www.puratos.com/,31/01/2026,New,0,,No
,Dalian Jiaming Food Co Ltd,Austria,,,,https://www.sgs.com/en-be/certified-clients-and-products/agriculture-and-food-marks/china/dalian-jiaming-food-co-ltd,31/01/2026,New,0,,No
,Export of High-quality poultry and meat Brussels Belgium,Belgium,,,,https://www.gourmetexception.com/brussels+belgium-y6,31/01/2026,New,0,,No
,Bidfood Belgium,Belgium,,,,https://bestfoodimporters.com/company/bidfood-belgium/,31/01/2026,New,0,,No
,Meda Bright Belgium,Belgium,,,,https://www.medabright.com/,31/01/2026,New,0,,No
,REAL,United States,,,,https://freshdi.com/supplier/real,31/01/2026,New,0,,No
,Chemical Distribution in Belgium,Belgium,,,,https://www.brenntag.com/en-be/,31/01/2026,New,0,,No
,RIEDEL Distribution Partners,Belgium,,,,https://www.riedel.com/en-be/distribution-partners,31/01/2026,New,0,,No
,"European Imports, Inc. Importer and Distributor of Cheese ...",Austria,,,,http://www.eiltd.com/,31/01/2026,New,0,,No
,Omega Food Importers Co. Ltd.,United States,,,,https://www.omega-foods.com/,31/01/2026,New,0,,No
,DELA,Belgium,,,,https://freshdi.com/supplier/dela,31/01/2026,New,0,,No
,Llc Group Of Companies Royal Import,Belgium,,,,https://www.trademo.com/companies/llc-group-of-companies-royal-import/44348465,31/01/2026,New,0,,No
,Canned food importers in Belgium,Belgium,,,,https://www.cannedfood.it/importers/belgiumcannedfoodimporters.html,31/01/2026,New,0,,No
,Bidfood Belgium,Belgium,,,,https://bestfoodimporters.com/company/bidfood-belgium/,31/01/2026,New,0,,No
,Sligro Food Group: food service companies,Austria,,,,https://www.sligrofoodgroup.be/en/about-us/sligro-food-group-belgium,31/01/2026,New,0,,No
,Pietercil,Austria,,,,https://www.pietercil.com/en,31/01/2026,New,0,,No
,Canned food importers in Belgium,Belgium,,,,https://www.cannedfood.it/importers/belgiumcannedfoodimporters.html,31/01/2026,New,0,,No
,Italian Food Distributors Belgium,Belgium,,,,https://www.italianfoodnews.com/en/distributors-importers-wholesalers-supplier/belgium,31/01/2026,New,0,,No
,Foodservice Wholesale,Austria,,,,https://wildvermeersch.com/foodservice-wholesale/,31/01/2026,New,0,,No
,Interfoods Bulgaria Sa,Bulgaria,,,,https://bestfoodimporters.com/company/interfoods-bulgaria-sa/,31/01/2026,New,0,,No
,Interfoods •EN,Bulgaria,,,,https://interfoodsbg.com/,31/01/2026,New,0,,No
,Stama Co. Ltd,Bulgaria,,,,https://www.stamabg.com/,31/01/2026,New,0,,No
,FOODSTOCK BUL LTD,Bulgaria,,,,https://freshdi.com/buyer/pqbdk3cjse,31/01/2026,New,0,,No
,EVANS,Austria,,,,https://evanseu.com/,31/01/2026,New,0,,No
,Welcome by Edex Food : Home,Austria,,,,https://www.edexfood.com/en/1/home.aspx,31/01/2026,New,0,,No
,ValexTeam,Bulgaria,,,,https://www.valexteam.com/,31/01/2026,New,0,,No
,Omega Food Importers Co. Ltd.,United States,,,,https://www.omega-foods.com/,31/01/2026,New,0,,No
,ValexTeam,Bulgaria,,,,https://www.valexteam.com/,31/01/2026,New,0,,No
,EVANS,Austria,,,,https://evanseu.com/,31/01/2026,New,0,,No
,Stama Co. Ltd,Bulgaria,,,,https://www.stamabg.com/,31/01/2026,New,0,,No
,Amergo Trade LLC,Bulgaria,,,,https://www.amergotopbrands.com/,31/01/2026,New,0,,No
,Orbico Bulgaria,Bulgaria,,,,https://www.orbico.com/bg/en/about,31/01/2026,New,0,,No
,Interfoods Bulgaria Sa,Bulgaria,,,,https://bestfoodimporters.com/company/interfoods-bulgaria-sa/,31/01/2026,New,0,,No
,BS GlobalPharma,Bulgaria,,,,https://bsglobalpharma.com/,31/01/2026,New,0,,No
,Bella Food,United States,,,,https://www.bella.bg/en/,31/01/2026,New,0,,No
,Fortuna-KOM,Bulgaria,,,,https://fortuna.bg/,31/01/2026,New,0,,No
,Mb Trade Bulgaria Ltd.,Bulgaria,,,,https://bestfoodimporters.com/company/mb-trade-bulgaria-ltd/,31/01/2026,New,0,,No
,BULGARCOOP-IMPORT-EXPORT,Bulgaria,,,,https://freshdi.com/supplier/bulgarcoop-import-export,31/01/2026,New,0,,No
,Import and export of food products,United States,,,,https://www.gmkgroup.bg/?lang=en,31/01/2026,New,0,,No
,BG Food Trade: THE BULGARIAN FOOD TRADE SERVICES ...,Bulgaria,,info@bgfoodtrade.com,+359 887 727 877,https://bgfoodtrade.com/,31/01/2026,New,0,,No
,"European Imports, Inc. Importer and Distributor of Cheese ...",Austria,,,,http://www.eiltd.com/,31/01/2026,New,0,,No
,EVANS,Austria,,,,https://evanseu.com/en/,31/01/2026,New,0,,No
,Stama Co. Ltd,Bulgaria,,,,https://www.stama.co/,31/01/2026,New,0,,No
,ValexTeam,Bulgaria,,,,https://www.valexteam.com/,31/01/2026,New,0,,No
,Balkanica Distral: Food stuff from Bulgaria,Bulgaria,,,,https://balkanica.bg/en,31/01/2026,New,0,,No
,BG Food Trade: THE BULGARIAN FOOD TRADE SERVICES ...,Bulgaria,,info@bgfoodtrade.com,+359 887 727 877,https://bgfoodtrade.com/,31/01/2026,New,0,,No
,Fortuna-KOM,Bulgaria,,,,https://fortuna.bg/,31/01/2026,New,0,,No
